"","x"
"1365","546,-546,"
"1366","374,565,"
"1367","-565,565,"
"1368","567,115,"
"1369","479,-716,"
"1370","479,942,"
"1371","31,-587,"
"1372","-33,-587,"
"1373","-482,-272,"
"1374","-482,422,"
"1375","-482,482,"
"1376","-482,-69,"
"1377","288,163,"
"1378","-237,-120,"
"1379","247,-120,"
"1380","85,-120,"
"1381","162,-278,"
"1382","-170,210,"
"1383","278,-278,"
"1384","-349,-278,"
"1385","-590,-278,"
"1386","65,210,"
"1387","4,-361,"
"1388","4,361,"
"1389","716,-31,"
"1390","716,33,"
"1391","-2,471,"
"1392","-40,-4,"
"1393","95,-4,"
"1394","30,-85,"
"1395","-482,-4,"
"1396","-482,4,"
"1397","120,-85,"
"1398","4,162,"
"1399","4,278,"
"1400","4,-349,"
"1401","4,-590,"
"1402","-8,419,"
"1403","-287,-288,"
"1404","-287,495,"
"1405","-302,-288,"
"1406","-302,495,"
"1407","479,-288,"
"1408","479,495,"
"1409","4,94,"
"1410","-158,-204,"
"1411","129,135,"
"1412","129,-254,"
"1413","-135,135,"
"1414","-135,-254,"
"1415","-20,135,"
"1416","-20,-254,"
"1417","254,135,"
"1418","254,-254,"
"1419","-115,-465,"
"1420","43,-465,"
"1421","288,287,"
"1422","288,-323,"
"1423","76,-143,"
"1424","284,-641,"
"1425","-305,-641,"
"1426","641,-641,"
"1427","272,-272,"
"1428","272,482,"
"1429","-75,-104,"
"1430","-75,114,"
"1431","274,-288,"
"1432","274,495,"
"1433","-403,-288,"
"1434","-403,495,"
"1435","120,765,"
"1436","-542,-85,"
"1437","849,-85,"
"1438","-419,419,"
"1439","-419,-521,"
"1440","-419,-62,"
"1441","785,"
"1442","-792,"
"1443","-419,-10,"
"1444","-419,-129,"
"1445","-419,20,"
"1446","-419,54,"
"1447","-419,8,"
"1448","-76,233,"
"1449","76,233,"
"1450","10,2,"
"1451","-233,-233,"
"1452","233,-233,"
"1453","-76,-233,"
"1454","76,-233,"
"1455","10,325,"
"1456","569,325,"
"1457","569,8,"
"1458","-8,325,"
"1459","-316,-40,"
"1460","-316,95,"
"1461","648,751,"
"1462","-751,751,"
"1463","288,-288,"
"1464","288,495,"
"1465","149,-204,"
"1466","-280,-204,"
"1467","445,"
"1468","716,302,"
"1469","-942,302,"
"1470","-242,-242,"
"1471","-242,242,"
"1472","242,-242,"
"1473","242,242,"
"1474","-94,-242,"
"1475","-94,242,"
"1476","94,-242,"
"1477","94,242,"
"1478","-173,329,"
"1479","204,-222,"
"1480","204,329,"
"1481","-280,173,"
"1482","10,329,"
"1483","149,173,"
"1484","-173,-204,"
"1485","-173,-222,"
"1486","204,-204,"
"1487","222,-204,"
"1488","-329,-204,"
"1489","-8,329,"
"1490","-359,-4,"
"1491","359,-4,"
"1492","-242,-233,"
"1493","-242,233,"
"1494","-242,76,"
"1495","-495,495,"
"1496","-694,694,"
"1497","-694,-740,"
"1498","-76,252,"
"1499","76,252,"
"1500","-76,-558,"
"1501","76,-558,"
"1502","-213,-156,"
"1503","-213,228,"
"1504","99,-156,"
"1505","99,228,"
"1506","-173,-156,"
"1507","-173,228,"
"1508","204,-156,"
"1509","204,228,"
"1510","-228,213,"
"1511","-228,-99,"
"1512","-40,"
"1513","95,"
"1514","-361,-4,"
"1515","361,-4,"
"1516","-252,-76,"
"1517","-252,76,"
"1518","558,-76,"
"1519","558,76,"
"1520","-459,-85,"
"1521","548,-85,"
"1522","-596,-85,"
"1523","808,-85,"
"1524","162,"
"1525","278,"
"1526","278,4,"
"1527","-349,"
"1528","-4,162,"
"1529","-482,162,"
"1530","-278,141,"
"1531","-278,-166,"
"1532","-158,-222,"
"1533","168,-222,"
"1534","961,-108,"
"1535","374,135,"
"1536","374,-254,"
"1537","242,76,"
"1538","-277,382,"
"1539","-277,-429,"
"1540","299,382,"
"1541","299,-429,"
"1542","156,173,"
"1543","156,-204,"
"1544","-277,399,"
"1545","-277,-341,"
"1546","299,-341,"
"1547","299,399,"
"1548","500,-260,"
"1549","500,-520,"
"1550","-1011,-1027,"
"1551","222,173,"
"1552","-329,173,"
"1553","-4,610,"
"1554","4,610,"
"1555","193,-193,"
"1556","350,-63,"
"1557","-4,-94,"
"1558","4,-94,"
"1559","-495,-288,"
"1560","-76,-143,"
"1561","-76,-242,"
"1562","-76,242,"
"1563","-928,-129,"
"1564","-928,2,"
"1565","-928,20,"
"1566","-928,-226,"
"1567","-928,54,"
"1568","-928,-62,"
"1569","569,-569,"
"1570","-8,-569,"
"1571","10,-569,"
"1572","-397,-76,"
"1573","-397,76,"
"1574","-228,158,"
"1575","120,-567,"
"1576","149,170,"
"1577","149,-65,"
"1578","-4,-278,"
"1579","-4,349,"
"1580","-4,-1003,"
"1581","4,-1003,"
"1582","-4,-162,"
"1583","4,-162,"
"1584","4,-278,"
"1585","4,349,"
"1586","-445,-278,"
"1587","445,-278,"
"1588","-445,349,"
"1589","445,349,"
"1590","-4,590,"
"1591","4,590,"
"1592","-4,841,"
"1593","4,841,"
"1594","-242,-143,"
"1595","-242,143,"
"1596","242,-143,"
"1597","242,143,"
"1598","-8,-269,"
"1599","-8,428,"
"1600","567,-567,"
"1601","63,-120,"
"1602","288,302,"
"1603","288,402,"
"1604","288,-434,"
"1605","288,-479,"
"1606","-495,163,"
"1607","-495,402,"
"1608","-495,-434,"
"1609","-495,-479,"
"1610","-40,-76,"
"1611","-40,76,"
"1612","95,-76,"
"1613","95,76,"
"1614","-928,277,"
"1615","-928,-299,"
"1616","-928,330,"
"1617","-928,-356,"
"1618","85,115,"
"1619","-185,213,"
"1620","318,-472,"
"1621","318,623,"
"1622","55,213,"
"1623","-228,-149,"
"1624","-228,-168,"
"1625","-228,280,"
"1626","204,170,"
"1627","204,185,"
"1628","204,-55,"
"1629","204,-65,"
"1630","-329,-168,"
"1631","162,-4,"
"1632","162,4,"
"1633","-590,-4,"
"1634","-590,4,"
"1635","445,76,"
"1636","226,-10,"
"1637","-8,2,"
"1638","-8,-226,"
"1639","-173,170,"
"1640","-173,185,"
"1641","-173,-65,"
"1642","-590,"
"1643","85,542,"
"1644","85,-849,"
"1645","-135,-269,"
"1646","254,-269,"
"1647","-135,428,"
"1648","254,428,"
"1649","-54,-269,"
"1650","567,-350,"
"1651","-173,-55,"
"1652","-349,4,"
"1653","1003,-4,"
"1654","1003,4,"
"1655","278,-445,"
"1656","278,445,"
"1657","-349,-4,"
"1658","-349,-445,"
"1659","-349,445,"
"1660","-841,-4,"
"1661","-841,4,"
"1662","399,-4,"
"1663","399,4,"
"1664","-129,-4,"
"1665","-129,4,"
"1666","20,-4,"
"1667","20,4,"
"1668","-341,"
"1669","-341,-4,"
"1670","-341,4,"
"1671","399,"
"1672","423,-318,"
"1673","423,-858,"
"1674","51,-165,"
"1675","-73,-165,"
"1676","90,-462,"
"1677","-1014,-44,"
"1678","-1014,92,"
"1679","462,-201,"
"1680","201,-462,"
"1681","-650,-621,"
"1682","658,-621,"
"1683","-115,-155,"
"1684","120,-155,"
"1685","350,-155,"
"1686","43,-155,"
"1687","147,-64,"
"1688","-187,-64,"
"1689","85,-318,"
"1690","465,-120,"
"1691","-115,-567,"
"1692","43,-567,"
"1693","10,210,"
"1694","-8,210,"
"1695","128,-223,"
"1696","683,-120,"
"1697","-650,302,"
"1698","-650,-479,"
"1699","658,302,"
"1700","658,-479,"
"1701","567,-43,"
"1702","-170,-521,"
"1703","-185,419,"
"1704","-185,-521,"
"1705","-170,419,"
"1706","55,419,"
"1707","55,-521,"
"1708","65,-521,"
"1709","65,419,"
"1710","-143,-143,"
"1711","-143,-359,"
"1712","-143,359,"
"1713","143,-359,"
"1714","143,359,"
"1715","350,237,"
"1716","350,-247,"
"1717","400,-270,"
"1718","129,-341,"
"1719","-20,-341,"
"1720","-330,-341,"
"1721","356,-341,"
"1722","-54,-341,"
"1723","62,-341,"
"1724","129,399,"
"1725","-20,399,"
"1726","-330,399,"
"1727","356,399,"
"1728","-54,399,"
"1729","62,399,"
"1730","85,-858,"
"1731","-4,-361,"
"1732","-4,361,"
"1733","-237,-350,"
"1734","247,-350,"
"1735","108,-260,"
"1736","108,-263,"
"1737","108,-301,"
"1738","108,-520,"
"1739","85,-188,"
"1740","31,-288,"
"1741","-33,-288,"
"1742","-650,287,"
"1743","-650,-323,"
"1744","658,287,"
"1745","658,-323,"
"1746","10,-392,"
"1747","-287,650,"
"1748","-287,-658,"
"1749","-158,419,"
"1750","129,-521,"
"1751","-158,-521,"
"1752","168,419,"
"1753","-173,419,"
"1754","-173,-521,"
"1755","204,419,"
"1756","204,-521,"
"1757","-20,-521,"
"1758","-8,-521,"
"1759","486,-486,"
"1760","486,693,"
"1761","-693,-486,"
"1762","-693,693,"
"1763","350,115,"
"1764","295,-120,"
"1765","-163,-288,"
"1766","-163,495,"
"1767","434,-288,"
"1768","434,495,"
"1769","-162,-349,"
"1770","-162,-590,"
"1771","222,-149,"
"1772","222,-168,"
"1773","222,280,"
"1774","269,-149,"
"1775","269,158,"
"1776","269,-168,"
"1777","269,280,"
"1778","-278,-349,"
"1779","-278,-590,"
"1780","-329,-149,"
"1781","-329,280,"
"1782","349,-349,"
"1783","349,-590,"
"1784","-428,-149,"
"1785","-428,280,"
"1786","-457,-4,"
"1787","-457,4,"
"1788","457,-4,"
"1789","457,4,"
"1790","590,-349,"
"1791","590,-590,"
"1792","-277,-204,"
"1793","299,-204,"
"1794","201,290,"
"1795","201,-391,"
"1796","-278,-85,"
"1797","349,-85,"
"1798","393,-85,"
"1799","-851,-85,"
"1800","656,-727,"
"1801","108,-961,"
"1802","188,-85,"
"1803","44,-1088,"
"1804","-92,-1088,"
"1805","-290,290,"
"1806","391,290,"
"1807","95,4,"
"1808","-141,-4,"
"1809","-141,4,"
"1810","222,8,"
"1811","-329,8,"
"1812","590,141,"
"1813","590,-166,"
"1814","610,-4,"
"1815","610,4,"
"1816","168,-156,"
"1817","168,228,"
"1818","-2,-204,"
"1819","226,-204,"
"1820","-76,-367,"
"1821","-76,425,"
"1822","648,-648,"
"1823","-751,-648,"
"1824","63,765,"
"1825","-40,-40,"
"1826","-40,95,"
"1827","-408,302,"
"1828","-408,-479,"
"1829","883,302,"
"1830","883,-479,"
"1831","423,-85,"
"1832","90,-201,"
"1833","-143,-233,"
"1834","-143,233,"
"1835","143,-233,"
"1836","143,233,"
"1837","-361,-76,"
"1838","-361,76,"
"1839","-278,41,"
"1840","-278,-72,"
"1841","349,41,"
"1842","349,-72,"
"1843","-359,233,"
"1844","359,233,"
"1845","-445,233,"
"1846","-94,233,"
"1847","94,233,"
"1848","94,-4,"
"1849","94,4,"
"1850","-233,143,"
"1851","-185,421,"
"1852","-185,-519,"
"1853","55,421,"
"1854","55,-519,"
"1855","-170,421,"
"1856","-170,-519,"
"1857","65,421,"
"1858","65,-519,"
"1859","288,33,"
"1860","167,-167,"
"1861","167,315,"
"1862","-315,-167,"
"1863","-315,315,"
"1864","-163,650,"
"1865","-163,-658,"
"1866","434,650,"
"1867","434,-658,"
"1868","350,-30,"
"1869","260,-108,"
"1870","520,-108,"
"1871","-89,-193,"
"1872","-143,143,"
"1873","-143,-94,"
"1874","-143,94,"
"1875","85,-472,"
"1876","85,623,"
"1877","-325,-149,"
"1878","-325,280,"
"1879","569,-149,"
"1880","569,280,"
"1881","76,-445,"
"1882","76,445,"
"1883","-76,-94,"
"1884","-76,94,"
"1885","76,-94,"
"1886","76,94,"
"1887","567,-63,"
"1888","-664,-455,"
"1889","716,-288,"
"1890","10,-222,"
"1891","-235,235,"
"1892","-235,-559,"
"1893","-242,-359,"
"1894","242,-359,"
"1895","559,235,"
"1896","559,-559,"
"1897","-8,-222,"
"1898","195,-120,"
"1899","374,185,"
"1900","374,-55,"
"1901","-565,185,"
"1902","-565,-55,"
"1903","-421,185,"
"1904","-421,-55,"
"1905","519,185,"
"1906","519,-55,"
"1907","-48,-580,"
"1908","-170,-717,"
"1909","-170,771,"
"1910","65,-717,"
"1911","65,771,"
"1912","465,-683,"
"1913","465,765,"
"1914","-942,33,"
"1915","-942,-31,"
"1916","143,-94,"
"1917","-237,115,"
"1918","-237,-43,"
"1919","247,115,"
"1920","247,-43,"
"1921","716,287,"
"1922","716,-323,"
"1923","716,-479,"
"1924","-942,287,"
"1925","-942,-323,"
"1926","-942,-479,"
"1927","-237,-567,"
"1928","247,-567,"
"1929","-4,40,"
"1930","4,40,"
"1931","-4,-95,"
"1932","4,-95,"
"1933","76,40,"
"1934","76,-95,"
"1935","44,1014,"
"1936","-92,1014,"
"1937","-54,928,"
"1938","293,"
"1939","293,-397,"
"1940","293,397,"
"1941","-424,-397,"
"1942","-424,397,"
"1943","288,-716,"
"1944","288,942,"
"1945","-495,-716,"
"1946","-495,942,"
"1947","-905,-4,"
"1948","-905,4,"
"1949","-290,-391,"
"1950","391,-391,"
"1951","-41,4,"
"1952","72,4,"
"1953","-4,-293,"
"1954","-459,-30,"
"1955","548,-30,"
"1956","-596,-30,"
"1957","808,-30,"
"1958","295,-85,"
"1959","166,162,"
"1960","166,-590,"
"1961","374,8,"
"1962","-565,8,"
"1963","-277,-10,"
"1964","-277,8,"
"1965","299,-10,"
"1966","299,8,"
"1967","580,-81,"
"1968","567,237,"
"1969","567,-247,"
"1970","-185,265,"
"1971","-185,-392,"
"1972","55,265,"
"1973","55,-392,"
"1974","-237,-63,"
"1975","247,-63,"
"1976","10,-3,"
"1977","10,45,"
"1978","-8,-3,"
"1979","-8,45,"
"1980","-283,573,"
"1981","-283,-855,"
"1982","79,573,"
"1983","79,-855,"
"1984","143,-445,"
"1985","143,94,"
"1986","-359,-359,"
"1987","-359,359,"
"1988","359,-359,"
"1989","359,359,"
"1990","-359,-445,"
"1991","359,-445,"
"1992","-359,-94,"
"1993","-359,94,"
"1994","359,-94,"
"1995","359,94,"
"1996","154,235,"
"1997","155,-120,"
"1998","-185,-222,"
"1999","-185,329,"
"2000","55,-222,"
"2001","55,329,"
"2002","155,765,"
"2003","-170,135,"
"2004","-170,-254,"
"2005","-185,135,"
"2006","-185,-254,"
"2007","55,135,"
"2008","55,-254,"
"2009","65,135,"
"2010","65,-254,"
"2011","-170,-156,"
"2012","-170,228,"
"2013","-185,-156,"
"2014","-185,228,"
"2015","55,-156,"
"2016","55,228,"
"2017","462,-656,"
"2018","-765,-63,"
"2019","938,613,"
"2020","226,-341,"
"2021","226,399,"
"2022","-2,-341,"
"2023","-2,399,"
"2024","-54,-3,"
"2025","62,-3,"
"2026","-163,942,"
"2027","434,942,"
"2028","108,-309,"
"2029","108,-484,"
"2030","108,-500,"
"2031","-76,-361,"
"2032","-76,361,"
"2033","76,-361,"
"2034","76,361,"
"2035","-135,-10,"
"2036","-135,8,"
"2037","254,-10,"
"2038","254,8,"
