"","x"
"321","-213,-204,"
"322","-213,213,"
"323","-213,54,"
"324","-213,-62,"
"325","-213,8,"
"326","40,40,"
"327","-54,173,"
"328","-54,-204,"
"329","-54,213,"
"330","62,173,"
"331","62,-204,"
"332","62,213,"
"333","-95,-40,"
"334","-95,40,"
"335","95,40,"
"336","-95,95,"
"337","95,-95,"
"338","99,-10,"
"339","99,-129,"
"340","99,173,"
"341","99,20,"
"342","99,-204,"
"343","99,213,"
"344","99,54,"
"345","99,-62,"
"346","99,8,"
"347","-141,141,"
"348","-141,-166,"
"349","147,-68,"
"350","147,70,"
"351","166,141,"
"352","166,-166,"
"353","-187,-68,"
"354","-187,70,"
"355","-257,257,"
"356","-257,-574,"
"357","574,257,"
"358","574,-574,"
"359","143,"
"360","274,-104,"
"361","274,114,"
"362","129,-222,"
"363","129,329,"
"364","-20,-222,"
"365","-20,329,"
"366","-54,-222,"
"367","-54,329,"
"368","99,-222,"
"369","99,329,"
"370","156,228,"
"371","-316,-284,"
"372","-115,115,"
"373","-115,-350,"
"374","-115,-43,"
"375","-115,-63,"
"376","43,115,"
"377","43,-350,"
"378","43,-43,"
"379","43,-63,"
"380","-287,287,"
"381","-287,-323,"
"382","-287,-479,"
"383","323,287,"
"384","323,-323,"
"385","323,-479,"
"386","-41,41,"
"387","72,41,"
"388","-157,-64,"
"389","-157,-68,"
"390","-157,70,"
"391","68,-64,"
"392","68,-68,"
"393","68,70,"
"394","-115,-120,"
"395","-157,157,"
"396","350,-120,"
"397","-495,-31,"
"398","68,157,"
"399","-173,8,"
"400","204,8,"
"401","-173,-10,"
"402","204,-10,"
"403","-228,-10,"
"404","-228,54,"
"405","-228,-62,"
"406","-228,8,"
"407","108,-108,"
"408","129,-299,"
"409","226,277,"
"410","226,-299,"
"411","-2,277,"
"412","-2,-299,"
"413","276,-129,"
"414","276,20,"
"415","276,277,"
"416","276,-299,"
"417","276,54,"
"418","276,-62,"
"419","-277,-129,"
"420","-277,20,"
"421","40,-4,"
"422","40,4,"
"423","-471,-129,"
"424","-471,20,"
"425","-471,277,"
"426","-471,-299,"
"427","-471,54,"
"428","-471,-62,"
"429","-95,-4,"
"430","-95,4,"
"431","-4,-76,"
"432","-4,76,"
